"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.0835501319273e-83,0.692541852625109,0.988,0.942,7.648239225859e-79,"0","RPS20"
2.01316099683687e-82,2.42613329012889,0.428,0.107,2.53094600522331e-78,"0","CCR7"
3.68676795079636e-82,1.12574147589497,0.841,0.397,4.63500466774119e-78,"0","CD3D"
3.70572172242094e-82,0.626021789331196,0.988,0.968,4.65883334942761e-78,"0","RPL5"
4.4252079945304e-81,0.504929192827344,0.997,0.992,5.56337149072362e-77,"0","RPS4X"
2.7521906041277e-78,0.54916686915272,0.996,0.982,3.46005402750935e-74,"0","RPS16"
7.98662339190967e-75,0.404839745384269,0.999,0.993,1.00407829283088e-70,"0","RPL19"
4.59054489983744e-72,0.357323947050972,1,0.997,5.77123304807563e-68,"0","RPL10"
1.84370202313962e-69,0.525088181247948,0.99,0.985,2.31790218349113e-65,"0","RPL10A"
1.85576242855475e-69,0.5902257222131,0.988,0.947,2.33306452517903e-65,"0","RPSA"
2.71706070205122e-64,0.527918911444785,0.99,0.974,3.4158887146188e-60,"0","RPS5"
5.76270314450396e-64,0.55308994827142,0.986,0.97,7.24487039327038e-60,"0","RPS10"
1.87690670818028e-61,0.430707263303355,0.995,0.985,2.35964711352424e-57,"0","RPL14"
1.49770319006197e-60,0.559846783016652,0.986,0.948,1.88291245054591e-56,"0","RPL36"
1.51621153209571e-60,0.411271314945934,0.999,0.989,1.90618113815073e-56,"0","RPS15"
5.7503507834458e-58,0.516260683349513,0.996,0.979,7.22934100494806e-54,"0","RPL18"
5.58287772311159e-57,0.781504991412593,0.91,0.799,7.01879387349589e-53,"0","NPM1"
6.79366634266315e-57,1.05276249490884,0.725,0.393,8.54099732599612e-53,"0","CD3E"
2.8654470636692e-55,0.53360820292723,0.985,0.938,3.60244004844492e-51,"0","RPLP0"
2.67370944214577e-53,0.533337792258635,0.989,0.957,3.36138751066566e-49,"0","RPL4"
1.39550934805128e-50,1.25028516759545,0.625,0.353,1.75443435237007e-46,"0","NOSIP"
1.82289940865421e-50,0.565564775956666,0.978,0.967,2.29174913656007e-46,"0","RPL7"
6.9399454070596e-50,0.591434178707093,0.954,0.89,8.72489936575533e-46,"0","RPL36A"
9.22401440811441e-50,2.10270077416204,0.331,0.101,1.15964309138814e-45,"0","LEF1"
2.63362355453442e-49,0.7168536151541,0.899,0.778,3.31099153276067e-45,"0","RPL22"
4.66546025324945e-48,0.36983652030503,0.997,0.992,5.8654166303852e-44,"0","RPS19"
1.23923009071968e-47,0.324975342854192,0.999,0.992,1.55796007005278e-43,"0","RPL18A"
6.3497361697724e-47,0.324133368794063,1,0.995,7.98288831263786e-43,"0","RPS2"
7.11328586243119e-47,0.428098856042919,0.996,0.984,8.9428229862485e-43,"0","RPS8"
3.76453272459781e-46,0.564203864061037,0.935,0.87,4.73277054136437e-42,"0","EEF1B2"
4.90195021803643e-45,2.03631293874136,0.327,0.108,6.1627318141154e-41,"0","PRKCQ-AS1"
8.18752568708301e-45,0.629823543503899,0.909,0.805,1.02933572938008e-40,"0","GLTSCR2"
1.53223606933935e-44,1.5358992030989,0.435,0.181,1.92632718637343e-40,"0","PIK3IP1"
1.72689139903686e-44,0.454090732989371,0.974,0.958,2.17104786686914e-40,"0","RPL17"
7.78630379993083e-44,0.704027304428823,0.913,0.904,9.78894113727304e-40,"0","JUNB"
2.46251374163626e-43,0.81005651303114,0.841,0.698,3.09587227598511e-39,"0","TMEM66"
4.15264605929507e-42,0.612777510130699,0.939,0.859,5.22070662574577e-38,"0","BTG1"
6.77091194538045e-42,0.531437778810613,0.959,0.898,8.5123904977323e-38,"0","RPS26"
2.30550234283518e-41,0.996348504194479,0.574,0.288,2.89847754541238e-37,"0","CD7"
2.51863469977754e-40,0.945397833229486,0.605,0.325,3.16642754456032e-36,"0","IL7R"
2.85213194477136e-39,0.42320185517563,0.986,0.966,3.58570028096656e-35,"0","RPL35"
3.68160068748474e-39,0.314805670561737,1,0.996,4.62850838430582e-35,"0","RPLP1"
1.45380746743435e-38,0.546921401710633,0.937,0.876,1.82772674805847e-34,"0","RPL38"
3.16696579998132e-38,0.549170314186189,0.932,0.84,3.98150940373652e-34,"0","RPS21"
4.53156340139065e-38,2.02197123119257,0.268,0.082,5.69708150822833e-34,"0","MAL"
1.8253490574946e-35,0.420651201493593,0.975,0.944,2.29482883508221e-31,"0","RPL24"
1.23339400380458e-34,1.06300424912349,0.405,0.176,1.55062294158312e-30,"0","CD27"
2.62104422702687e-34,0.446709062164129,0.984,0.943,3.29517680221818e-30,"0","RPL37"
1.85273626514746e-33,0.279358989466529,1,0.989,2.32926003254338e-29,"0","RPL12"
3.73596881640737e-33,1.32782005403086,0.381,0.176,4.69685999598734e-29,"0","TCF7"
9.31928382096106e-32,0.507240013494887,0.931,0.871,1.17162036197122e-27,"0","RPS4Y1"
2.11951864151752e-30,0.377698306593494,0.978,0.95,2.66465883611583e-26,"0","RPL27"
4.13251399892041e-29,0.365710839590148,0.978,0.947,5.19539659944273e-25,"0","RPL37A"
8.03949791584118e-29,0.585012828797772,0.929,0.902,1.01072567797955e-24,"0","RPL34"
1.16179538571519e-28,0.286050972947312,0.996,0.996,1.46060915892114e-24,"0","RPL15"
4.61107960768291e-28,0.573973010136012,0.831,0.699,5.79704928277896e-24,"0","RPSAP58"
1.92469620015581e-27,0.393989268273294,0.89,0.632,2.41972806283588e-23,"0","LTB"
2.86520975444873e-27,0.313202281286327,0.985,0.975,3.60214170329294e-23,"0","RPL7A"
4.51745130290558e-27,1.17417918146518,0.398,0.206,5.6793397780129e-23,"0","LEPROTL1"
7.09296822440659e-27,0.892959736525664,0.674,0.496,8.91727965172397e-23,"0","C6orf48"
1.18428905962565e-25,0.719368499057138,0.643,0.435,1.48888820576137e-21,"0","AES"
5.97770056936496e-25,0.278172089498852,0.997,0.993,7.51516515580563e-21,"0","RPL6"
6.20350524557482e-23,0.286239895306929,0.995,0.987,7.79904679473666e-19,"0","RPS7"
1.95818729015549e-21,1.12881909239869,0.413,0.237,2.46183306118349e-17,"0","GIMAP5"
3.00506377939591e-21,0.254123337106942,0.996,0.991,3.77796618345653e-17,"0","RPL26"
3.55633926213621e-21,0.810822522419377,0.5,0.308,4.47102972035765e-17,"0","LCK"
2.18446572826979e-20,0.498201033240269,0.832,0.758,2.74631031358078e-16,"0","TOMM7"
2.21895513457431e-20,0.786680091353805,0.542,0.383,2.78967039518682e-16,"0","TMEM123"
5.68386503208063e-20,0.999870154168255,0.337,0.174,7.14575511833177e-16,"0","CD3G"
6.61345482440302e-20,0.997607368416338,0.349,0.185,8.31443540523948e-16,"0","RGCC"
1.29041699970858e-19,1.12876839890942,0.42,0.256,1.62231225203363e-15,"0","C12orf57"
2.37558987480941e-18,0.459120507960536,0.594,0.426,2.98659159061039e-14,"0","SELL"
1.33681302367429e-17,0.310893705459723,0.95,0.922,1.68064133336331e-13,"0","HNRNPA1"
1.65488045474077e-17,1.13238897403805,0.27,0.136,2.0805157077001e-13,"0","TRAT1"
2.57392302918784e-17,0.527663936717601,0.733,0.607,3.23593603229495e-13,"0","HINT1"
2.70436291686982e-17,1.04090496178363,0.398,0.252,3.39992505908873e-13,"0","DNAJB1"
3.66596037183221e-17,0.916365516933327,0.401,0.251,4.60884537946746e-13,"0","GYPC"
1.11851558988294e-16,0.986541478455527,0.428,0.285,1.40619779960083e-12,"0","NDFIP1"
4.79520782712456e-16,1.30282987484232,0.262,0.139,6.028535280261e-12,"0","FLT3LG"
7.82787709068544e-16,0.968636535056935,0.354,0.21,9.84120707840973e-12,"0","RHOH"
2.75685013922351e-15,0.541454002457846,0.733,0.605,3.4659119950318e-11,"0","EIF4A2"
2.85137110793918e-15,0.513374692938116,0.743,0.618,3.58474375690114e-11,"0","ZFP36L2"
4.55948946157261e-15,0.646874547681506,0.519,0.377,5.73219015108909e-11,"0","RGS10"
2.61567249718115e-14,0.280837308620055,0.963,0.967,3.28842346345614e-10,"0","EEF1D"
7.98476895125649e-14,0.335971581583354,0.894,0.844,1.00384515255197e-09,"0","RPL23"
1.26447992959657e-13,0.783067194720012,0.322,0.19,1.58970416748881e-09,"0","OCIAD2"
1.33920518497772e-13,0.38186366815062,0.429,0.276,1.68364875855399e-09,"0","CD2"
5.010493517935e-13,0.736861342540792,0.563,0.452,6.29919245074789e-09,"0","TRAF3IP3"
6.43186130985883e-13,0.526730473451018,0.627,0.496,8.08613603875452e-09,"0","EVL"
9.31576265300505e-13,0.415778188994429,0.627,0.507,1.1711776807358e-08,"0","GIMAP7"
3.99097781662053e-12,0.784485477371249,0.308,0.186,5.01745731105533e-08,"0","LAT"
4.08676327489339e-12,0.528432863988665,0.456,0.337,5.13787878919597e-08,"0","FYB"
4.51049334604121e-12,0.464128450779555,0.669,0.576,5.67059223464301e-08,"0","COMMD6"
8.27668382924091e-12,0.594557650834145,0.471,0.347,1.04054469101217e-07,"0","PEBP1"
9.88574602156816e-12,0.753075654365018,0.376,0.258,1.24283598983155e-07,"0","PRDX2"
1.30004474086368e-11,0.392040177268254,0.756,0.644,1.63441624821381e-07,"0","HSPA8"
2.51798910105875e-11,0.311337229992593,0.786,0.714,3.16561589785106e-07,"0","SRSF5"
9.77623392850939e-11,0.979353708661677,0.262,0.161,1.2290681294922e-06,"0","PSIP1"
2.31566022389174e-10,0.323320447033838,0.879,0.853,2.9112480334767e-06,"0","PABPC1"
2.35476218772358e-10,0.837345170338372,0.388,0.27,2.96040702240608e-06,"0","ACAP1"
2.8794105342455e-10,0.301638989761076,0.689,0.567,3.61999492365344e-06,"0","CXCR4"
5.39009119332654e-10,0.693547828490476,0.477,0.374,6.77642264825012e-06,"0","ST13"
1.16915711578126e-09,0.354772846011861,0.778,0.729,1.4698643259602e-05,"0","JUN"
1.63000415400698e-09,0.669810913286009,0.326,0.224,2.04924122241758e-05,"0","SLC2A3"
2.99932541330122e-09,0.503221472479451,0.579,0.487,3.77075190960229e-05,"0","SOD1"
3.73054036987546e-09,0.29296968879669,0.858,0.797,4.69003535300743e-05,"0","DDX5"
4.57131612872264e-09,0.401111262742437,0.452,0.326,5.7470586370301e-05,"0","CD69"
4.8685189367869e-09,0.390924291516067,0.74,0.682,6.12070200732849e-05,"0","COX7C"
7.72926163588555e-09,0.39509015098804,0.418,0.313,9.71722772863532e-05,"0","CYTIP"
1.57823653948833e-08,0.601563995062188,0.477,0.383,0.000198415897744473,"0","UXT"
3.1046185068271e-08,0.4309252202159,0.625,0.547,0.000390312638678303,"0","SNRPD2"
3.11317350403199e-08,0.632082802269055,0.399,0.3,0.000391388172926902,"0","RSL1D1"
3.16023084836388e-08,0.549354718703212,0.383,0.29,0.000397304222256307,"0","PPA1"
1.06992175866804e-07,0.309507225967458,0.737,0.666,0.00134510563499745,"0","NBEAL1"
1.09847980691803e-07,0.614471576172176,0.425,0.338,0.00138100881325735,"0","BTG2"
3.20357863397052e-07,0.403756187956963,0.39,0.291,0.00402753905862774,"0","STK17A"
7.26221199046669e-07,0.293378153102716,0.549,0.442,0.00913005291441472,"0","RARRES3"
7.5899002519699e-07,0.663494821951625,0.302,0.223,0.00954202259677656,"0","EEF1G"
1.16163679565642e-06,0.308000008494622,0.552,0.448,0.0146040977949925,"0","IFITM1"
1.39344145218304e-06,0.698782397629939,0.386,0.304,0.0175183459368452,"0","CCDC109B"
2.10142861353248e-06,0.621768761764076,0.27,0.186,0.0264191605293304,"0","SPOCK2"
2.70712028316233e-06,0.533981958282136,0.425,0.357,0.0340339161999168,"0","EIF3E"
1.18754822913187e-05,0.252708304514293,0.902,0.894,0.149298563366458,"0","BTF3"
1.29866897476921e-05,0.314213762489439,0.584,0.526,0.163268663507985,"0","RPL41"
2.51635437216758e-05,0.495397797089361,0.425,0.358,0.316356071668908,"0","MZT2B"
5.78696941221186e-05,0.356337841226601,0.719,0.655,0.727537794503275,"0","TMA7"
6.53353178064931e-05,0.60672901679614,0.322,0.257,0.821395615463231,"0","RPL39"
0.000105077830049328,0.75191065347469,0.296,0.234,1,"0","SNHG8"
0.000110019810663437,0.310953526810316,0.673,0.614,1,"0","CCNI"
0.000226169796736544,0.458450106230823,0.471,0.422,1,"0","CUTA"
0.00023473726958469,0.369033392753603,0.424,0.359,1,"0","CMPK1"
0.00030458379123264,0.415712931893963,0.3,0.232,1,"0","BIN1"
0.00032391218964232,0.462434178188679,0.304,0.245,1,"0","MZT2A"
0.000377542433710738,0.540808293887675,0.27,0.213,1,"0","CITED2"
0.000445575220066347,0.312331898949073,0.495,0.446,1,"0","GIMAP4"
0.000760040602969717,0.412056432030492,0.275,0.217,1,"0","CDC42SE2"
0.0011162234567339,0.439193907492807,0.305,0.258,1,"0","TOMM20"
0.00119865017962281,0.421891799443791,0.345,0.292,1,"0","SF1"
0.00235255442818007,0.394097285965293,0.429,0.386,1,"0","NDUFS5"
0.00252166186663393,0.329281571629748,0.411,0.358,1,"0","PNISR"
0.00255040710773622,0.373968345901221,0.326,0.279,1,"0","ANKRD12"
0.0028337505408429,0.464602938302782,0.343,0.304,1,"0","SON"
0.00335172608173884,0.300462062043483,0.51,0.483,1,"0","ZFAS1"
0.00732162888124865,0.559301826176102,0.285,0.246,1,"0","PCNP"
0.00854086521111834,0.668459300211823,0.256,0.214,1,"0","MRPS21"
0.00920668293263765,0.261021149171513,0.396,0.364,1,"0","C1QBP"
0,6.66857309727915,0.971,0.121,0,"1","S100A8"
0,5.70424711232937,0.907,0.058,0,"1","LGALS2"
0,4.08679441962756,0.952,0.149,0,"1","FCN1"
0,6.19984447835938,0.996,0.214,0,"1","S100A9"
2.98024318327474e-295,5.98312609529424,0.665,0.027,3.74676173001301e-291,"1","CD14"
2.47967506429984e-286,3.28053657906157,0.994,0.264,3.11744749083776e-282,"1","TYROBP"
7.26664608906567e-276,5.31859695028937,0.682,0.041,9.13562746317336e-272,"1","MS4A6A"
2.87701445625103e-272,3.23000566754804,0.992,0.265,3.6169825743988e-268,"1","CST3"
5.63422841961223e-270,4.78169111315394,1,0.516,7.0833519691365e-266,"1","LYZ"
1.29783298030615e-241,3.17507349421953,0.917,0.221,1.63163562284089e-237,"1","TYMP"
1.77439250460233e-233,3.15566797132991,0.785,0.105,2.23076625678605e-229,"1","CFD"
5.36197616696781e-232,2.27737682177336,0.959,0.221,6.74107643711193e-228,"1","LST1"
1.33797376099088e-230,2.79585786783818,0.979,0.364,1.68210061231773e-226,"1","LGALS1"
8.6076459604323e-229,2.53570245006556,0.957,0.244,1.08215325014555e-224,"1","AIF1"
2.42107614723161e-218,2.89785819894256,0.944,0.351,3.04377693229958e-214,"1","GSTP1"
1.4226440852437e-217,2.59070332287755,0.924,0.311,1.78854814396839e-213,"1","GPX1"
5.73279309535625e-217,3.63262613840088,0.756,0.127,7.20726747948188e-213,"1","GRN"
1.46179784539573e-215,2.62604781965292,1,0.987,1.83777225123152e-211,"1","FTL"
3.80464758660384e-207,2.1175437226838,0.996,0.735,4.78320294587835e-203,"1","S100A6"
1.89018708350772e-201,2.21709973146871,1,0.987,2.37634320138591e-197,"1","FTH1"
1.51240794073411e-196,2.04211930952863,0.94,0.227,1.90139926309092e-192,"1","FCER1G"
1.46639869749265e-186,2.35902417273415,0.944,0.428,1.84355644248775e-182,"1","CTSS"
9.99504422440378e-182,2.93045352360333,0.709,0.113,1.25657695989204e-177,"1","CD68"
2.64579609990081e-181,3.27406607459059,0.694,0.119,3.3262948567953e-177,"1","CEBPD"
9.58938598602983e-179,1.69689602539886,1,0.771,1.20557760616367e-174,"1","S100A4"
1.17974135340815e-176,3.12479041562642,0.719,0.14,1.48317082950472e-172,"1","LGALS3"
1.46590594952437e-175,3.00190633039425,0.769,0.192,1.84293695974204e-171,"1","AP1S2"
6.41778492794688e-174,2.52426594720331,0.88,0.314,8.06843921141482e-170,"1","NPC2"
4.46157790983346e-171,1.47322949436063,0.996,0.893,5.60909574824263e-167,"1","OAZ1"
6.66677378490143e-169,3.95185070357348,0.543,0.058,8.38146800237807e-165,"1","CDA"
1.74756618894762e-168,2.06495435418803,0.95,0.431,2.19704021274494e-164,"1","S100A11"
1.80616667658655e-168,2.15060039040123,0.924,0.416,2.27071274580461e-164,"1","PSAP"
3.03203815810967e-165,3.00214654961542,0.651,0.109,3.81187837237547e-161,"1","CFP"
4.30332521874639e-164,3.62241409771374,0.591,0.083,5.41014046500797e-160,"1","NCF2"
9.62098631422266e-164,2.04147442657792,0.967,0.506,1.20955039942407e-159,"1","SAT1"
1.80205237686473e-158,3.66337677087791,0.554,0.074,2.26554024819434e-154,"1","BLVRB"
2.72545756770666e-158,4.39024097678219,0.463,0.038,3.42644525412081e-154,"1","CSF3R"
1.56329049233019e-157,1.78714207282919,0.973,0.552,1.96536880695751e-153,"1","COTL1"
6.2821903526337e-157,2.51378380757151,0.713,0.142,7.89796971133109e-153,"1","SERPINA1"
2.68147777725334e-151,5.70904513279785,0.37,0.015,3.37115386156289e-147,"1","ASGR1"
5.00163511291865e-150,4.48317504963244,0.444,0.037,6.28805566396133e-146,"1","ALDH2"
6.40023546143388e-150,3.70108692212989,0.512,0.062,8.04637602211467e-146,"1","NUP214"
1.01061049445748e-148,2.12990343675593,0.876,0.403,1.27053951363194e-144,"1","GABARAP"
9.74772782086674e-146,3.08564231370501,0.653,0.139,1.22548434163937e-141,"1","FCGRT"
1.15714096288866e-145,2.83386854289291,0.558,0.078,1.45475761854362e-141,"1","IFI30"
1.72645288377596e-142,1.350014219268,0.99,0.815,2.17049656548313e-138,"1","CYBA"
6.72499457247695e-142,4.1185378285182,0.428,0.037,8.45466317651803e-138,"1","FPR1"
6.71582896763582e-139,2.30920253326698,0.783,0.254,8.44314017811176e-135,"1","TKT"
1.22126030979227e-138,2.09271880980216,0.808,0.273,1.53536846147085e-134,"1","PYCARD"
8.22920524335114e-138,7.26999182828349,0.298,0.004,1.03457568319411e-133,"1","FOLR3"
4.74138669790311e-135,2.53197991125077,0.63,0.12,5.96087135660379e-131,"1","SPI1"
4.18754774904367e-132,2.09318437118651,0.853,0.347,5.26458503009771e-128,"1","RAC1"
3.23083799981243e-129,2.14336871070783,0.849,0.395,4.06180953336419e-125,"1","TSPO"
1.65111422989665e-128,3.385377651176,0.473,0.062,2.07578080982607e-124,"1","SLC7A7"
7.822267279163e-126,4.99186053120395,0.312,0.013,9.83415442336372e-122,"1","RBP7"
1.6986991944838e-124,3.49635486920773,0.51,0.084,2.13560462730503e-120,"1","TNFSF13B"
3.13479167619604e-124,2.68012224422475,0.587,0.119,3.94106009531366e-120,"1","BRI3"
1.00551369329392e-120,2.22448780992584,0.626,0.136,1.26413181520911e-116,"1","IFITM3"
2.97882855892973e-120,6.7267281112611,0.275,0.006,3.74498326428645e-116,"1","S100A12"
3.41288681301849e-118,3.7690593594567,0.401,0.043,4.29068130132685e-114,"1","IGSF6"
1.4554192438452e-116,3.03475830170573,0.527,0.102,1.82975307336218e-112,"1","RNF130"
1.95394247185923e-115,1.33745908982535,0.969,0.825,2.45649647562143e-111,"1","GAPDH"
1.65593716601121e-114,1.90694583637118,0.756,0.284,2.0818442051093e-110,"1","TALDO1"
1.25267168551823e-113,3.87974268511829,0.37,0.035,1.57485884303352e-109,"1","VCAN"
8.52688798361319e-113,4.51536989931729,0.316,0.02,1.07200035729985e-108,"1","BST1"
5.65945528386526e-112,3.32671003666843,0.428,0.058,7.1150671828754e-108,"1","MNDA"
1.01541339665128e-109,4.39711318780135,0.343,0.031,1.27657772226999e-105,"1","PLBD1"
5.51666694155632e-107,3.34226153150711,0.419,0.059,6.93555367892461e-103,"1","APOBEC3A"
5.65865565945328e-102,2.70268820069098,0.502,0.104,7.11406189506467e-98,"1","CTSH"
2.0635909834162e-100,3.44641526558408,0.388,0.054,2.59434658435084e-96,"1","CPVL"
3.34699864790687e-100,2.78726329947824,0.531,0.126,4.20784670014852e-96,"1","CTSB"
2.9455824737559e-99,1.89487082104,0.773,0.32,3.70318628600591e-95,"1","IFI6"
1.29512071467457e-98,1.47571171186333,0.917,0.578,1.62822576248887e-94,"1","NEAT1"
1.32294651318371e-96,1.99930298527285,0.705,0.274,1.66320835637456e-92,"1","AP2S1"
2.5907995291613e-96,3.28739284890167,0.395,0.06,3.25715316806158e-92,"1","ODF3B"
3.36143239731934e-92,3.36308420512212,0.362,0.05,4.22599280990988e-88,"1","TGFBI"
1.1051149879686e-89,3.40664111605231,0.355,0.049,1.38935056287413e-85,"1","SMCO4"
2.47918287336106e-89,2.82332267803294,0.384,0.06,3.11682870838953e-85,"1","LILRA5"
5.38667775717904e-88,4.1881087481503,0.267,0.02,6.77213127632549e-84,"1","TMEM176B"
3.81127196996461e-87,4.02785146400632,0.283,0.026,4.79153112063951e-83,"1","CD33"
1.25880683271929e-86,0.860529872672838,0.942,0.474,1.58257195009469e-82,"1","HLA-DRA"
1.75068059799027e-86,0.911503811104426,0.973,0.833,2.20095564779337e-82,"1","SH3BGRL3"
1.96092012308756e-83,3.72637502396962,0.306,0.037,2.46526877874568e-79,"1","RAB32"
3.05599071232452e-82,1.22142402537634,0.928,0.708,3.84199152353439e-78,"1","ARPC1B"
1.97283630688601e-80,1.59729880582623,0.74,0.31,2.48024980501709e-76,"1","C1orf162"
5.3412247461467e-80,0.581126431387693,1,0.992,6.71498775085564e-76,"1","TMSB10"
6.10682770547004e-80,1.60161323245388,0.762,0.364,7.67750379131693e-76,"1","ANXA2"
1.44792692791932e-78,2.12689730849198,0.541,0.163,1.82033373378017e-74,"1","CAPG"
4.30858181746824e-77,1.95311052379803,0.601,0.205,5.41674906092107e-73,"1","RGS2"
4.80184099549635e-77,4.31896636000455,0.275,0.031,6.03687449953801e-73,"1","IL8"
6.04274180441948e-77,2.86225875212002,0.39,0.076,7.59693499651618e-73,"1","STX11"
5.18986664473879e-76,2.95001944117887,0.362,0.066,6.52470034576561e-72,"1","PLAUR"
8.8180210684502e-76,1.20102621245599,0.874,0.537,1.10860160872556e-71,"1","SRGN"
8.98052481402978e-76,1.17461500738429,0.924,0.774,1.12903157961982e-71,"1","VIM"
9.9037635486111e-76,2.12894008315747,0.488,0.125,1.24510115333139e-71,"1","LY86"
1.89527096511982e-75,2.92255241913092,0.362,0.066,2.38273465734864e-71,"1","KLF4"
3.21519728929852e-75,1.64118685308892,0.663,0.248,4.0421460321061e-71,"1","CEBPB"
3.5995255013685e-73,2.5385255981156,0.413,0.094,4.52532346032048e-69,"1","AGTRAP"
5.23071462037432e-72,2.08347979978717,0.649,0.268,6.57605442073459e-68,"1","ATP6V0B"
3.75945296631758e-71,0.939959472356749,0.942,0.789,4.72638426925447e-67,"1","ARPC3"
4.83433740732898e-70,3.02131477744245,0.322,0.055,6.07772898849399e-66,"1","C19orf38"
5.13889011711651e-70,2.83043821213994,0.386,0.085,6.46061265523888e-66,"1","CCL3"
1.01270888524176e-69,3.78008869238466,0.273,0.036,1.27317761052595e-65,"1","IL1B"
5.2039995838661e-69,2.69828226245156,0.457,0.125,6.54246827683646e-65,"1","BLVRA"
1.27027387519088e-68,1.04524181186122,0.833,0.376,1.59698831588998e-64,"1","HLA-DRB1"
2.29929715377028e-68,0.952487353435876,0.934,0.798,2.89067638171999e-64,"1","ATP5G2"
1.07706238760654e-67,2.55654690630027,0.335,0.063,1.35408283369894e-63,"1","CTSZ"
1.55740829520063e-67,2.74724292183345,0.326,0.059,1.95797370872623e-63,"1","MSRB1"
7.34553485523298e-67,1.75890234017796,0.506,0.151,9.2348064199989e-63,"1","FGR"
1.79715897596394e-66,1.30280146548956,0.845,0.596,2.25938826458187e-62,"1","S100A10"
1.85917148762073e-64,2.29033479109345,0.57,0.215,2.33735039423678e-60,"1","LINC00936"
1.23263757969851e-62,1.49167458786421,0.748,0.408,1.54967196519696e-58,"1","PRELID1"
9.2163290944044e-62,2.01046038844687,0.395,0.095,1.15867689374852e-57,"1","HCK"
1.489230138777e-61,2.98823131816817,0.349,0.076,1.87226013047045e-57,"1","FGL2"
1.01340821264905e-60,2.65370855938976,0.331,0.07,1.27405680494239e-56,"1","PGD"
1.59062642987683e-60,3.33783296459844,0.293,0.054,1.99973554764115e-56,"1","MAFB"
6.26351548065424e-60,2.77387206027778,0.314,0.063,7.87449166227851e-56,"1","MPEG1"
9.21962231529133e-60,1.91596348877941,0.514,0.181,1.15909091747843e-55,"1","CTSD"
1.35378862444511e-59,1.54819736311709,0.721,0.397,1.70198305865239e-55,"1","NFKBIA"
1.86827841949335e-59,1.27968098802967,0.636,0.26,2.34879962898704e-55,"1","TIMP1"
5.13315855189892e-59,0.86025760064435,0.957,0.834,6.45340693144732e-55,"1","SERF2"
5.49836672337271e-59,2.16028125720411,0.411,0.111,6.91254664462416e-55,"1","APLP2"
1.81990862420481e-58,0.705565273499661,0.979,0.939,2.28798912235029e-54,"1","MT-ND1"
